Line#,Date,"Temperature (MX-TEMP-2 20835814:20835814-1), *C, 20835814","RH (MX-RH-2 20835814:20835814-2), %, 20835814","Dew Point (MX-TEMP-2 20835814:20835814-4), *C, 20835814","Temperature (MX-TEMP-2 20835815:20835815-1), *C, 20835815","RH (MX-RH-2 20835815:20835815-2), %, 20835815","Dew Point (MX-TEMP-2 20835815:20835815-4), *C, 20835815","Temperature (MX-TEMP-2 20835816:20835816-1), *C, 20835816","RH (MX-RH-2 20835816:20835816-2), %, 20835816","Dew Point (MX-TEMP-2 20835816:20835816-4), *C, 20835816","Temperature (MX-TEMP-2 20835817:20835817-1), *C, 20835817","RH (MX-RH-2 20835817:20835817-2), %, 20835817","Dew Point (MX-TEMP-2 20835817:20835817-4), *C, 20835817","Temperature (MX-TEMP-2 20835818:20835818-1), *C, 20835818","RH (MX-RH-2 20835818:20835818-2), %, 20835818","Dew Point (MX-TEMP-2 20835818:20835818-4), *C, 20835818","Temperature (MX-TEMP-2 20835819:20835819-1), *C, 20835819","RH (MX-RH-2 20835819:20835819-2), %, 20835819","Dew Point (MX-TEMP-2 20835819:20835819-4), *C, 20835819","Temperature (MX-TEMP-2 20835820:20835820-1), *C, 20835820","RH (MX-RH-2 20835820:20835820-2), %, 20835820","Dew Point (MX-TEMP-2 20835820:20835820-4), *C, 20835820","Temperature (MX-TEMP-2 20835821:20835821-1), *C, 20835821","RH (MX-RH-2 20835821:20835821-2), %, 20835821","Dew Point (MX-TEMP-2 20835821:20835821-4), *C, 20835821","Temperature (MX-TEMP-2 20835822:20835822-1), *C, 20835822","RH (MX-RH-2 20835822:20835822-2), %, 20835822","Dew Point (MX-TEMP-2 20835822:20835822-4), *C, 20835822","Temperature (MX-TEMP-2 20835823:20835823-1), *C, 20835823","RH (MX-RH-2 20835823:20835823-2), %, 20835823","Dew Point (MX-TEMP-2 20835823:20835823-4), *C, 20835823","Temperature (MX-TEMP-2 20835824:20835824-1), *C, 20835824","RH (MX-RH-2 20835824:20835824-2), %, 20835824","Dew Point (MX-TEMP-2 20835824:20835824-4), *C, 20835824","Temperature (MX-TEMP-2 20835825:20835825-1), *C, 20835825","RH (MX-RH-2 20835825:20835825-2), %, 20835825","Dew Point (MX-TEMP-2 20835825:20835825-4), *C, 20835825","Temperature (MX-TEMP-2 20843228:20843228-1), *C, 20843228","RH (MX-RH-2 20843228:20843228-2), %, 20843228","Dew Point (MX-TEMP-2 20843228:20843228-4), *C, 20843228","Temperature (MX-TEMP-2 20843229:20843229-1), *C, 20843229","RH (MX-RH-2 20843229:20843229-2), %, 20843229","Dew Point (MX-TEMP-2 20843229:20843229-4), *C, 20843229","Temperature (MX-TEMP-2 20843230:20843230-1), *C, 20843230","RH (MX-RH-2 20843230:20843230-2), %, 20843230","Dew Point (MX-TEMP-2 20843230:20843230-4), *C, 20843230","Temperature (MX-TEMP-2 20843231:20843231-1), *C, 20843231","RH (MX-RH-2 20843231:20843231-2), %, 20843231","Dew Point (MX-TEMP-2 20843231:20843231-4), *C, 20843231","Temperature (MX-TEMP-2 20843233:20843233-1), *C, 20843233","RH (MX-RH-2 20843233:20843233-2), %, 20843233","Dew Point (MX-TEMP-2 20843233:20843233-4), *C, 20843233","Temperature (MX-TEMP-2 20843235:20843235-1), *C, 20843235","RH (MX-RH-2 20843235:20843235-2), %, 20843235","Dew Point (MX-TEMP-2 20843235:20843235-4), *C, 20843235","Temperature (MX-TEMP-2 20843236:20843236-1), *C, 20843236","RH (MX-RH-2 20843236:20843236-2), %, 20843236","Dew Point (MX-TEMP-2 20843236:20843236-4), *C, 20843236","Temperature (MX-TEMP-2 20843238:20843238-1), *C, 20843238","RH (MX-RH-2 20843238:20843238-2), %, 20843238","Dew Point (MX-TEMP-2 20843238:20843238-4), *C, 20843238","Temperature (MX-TEMP-2 20843239:20843239-1), *C, 20843239","RH (MX-RH-2 20843239:20843239-2), %, 20843239","Dew Point (MX-TEMP-2 20843239:20843239-4), *C, 20843239"
1541,05/15/20 16:09:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.61,26.12,5.61,,,,,,,,,,,,,,,,,,,,,
1542,05/15/20 16:10:01,,,,25.75,26.74,5.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1543,05/15/20 16:11:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.26,26.30,5.42
1544,05/15/20 16:16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.70,25.82,5.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1545,05/15/20 16:16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.05,26.38,5.28,,,,,,,,,,,,,,,,,,,,,,,,
1546,05/15/20 16:16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.15,29.80,4.55,,,,,,
1547,05/15/20 16:17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.57,26.73,5.06,,,
1548,05/15/20 16:17:59,,,,,,,,,,,,,,,,,,,,,,27.11,26.93,6.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1549,05/15/20 16:19:05,2.44,82.01,-0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1550,05/15/20 16:20:00,,,,,,,,,,,,,,,,25.58,25.74,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1551,05/15/20 16:20:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.06,25.09,4.57,,,,,,,,,,,,
1552,05/15/20 16:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.57,25.60,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1553,05/15/20 16:22:40,,,,,,,,,,27.05,25.68,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1554,05/15/20 16:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.75,25.58,4.58,,,,,,,,,
1555,05/15/20 16:23:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.89,26.58,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1556,05/15/20 16:23:41,,,,,,,,,,,,,26.39,24.82,4.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1557,05/15/20 16:24:35,,,,,,,,,,,,,,,,,,,26.32,25.92,5.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1558,05/15/20 16:26:27,,,,,,,,,,,,,,,,,,,,,,,,,26.53,24.46,4.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1559,05/15/20 16:27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.72,25.14,5.16,,,,,,,,,,,,,,,
1560,05/15/20 16:28:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.35,25.74,5.18,,,,,,,,,,,,,,,,,,
1561,05/15/20 16:29:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.72,25.79,5.53,,,,,,,,,,,,,,,,,,,,,
1562,05/15/20 16:30:01,,,,25.86,26.49,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1563,05/15/20 16:31:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.33,26.12,5.37
1564,05/15/20 16:36:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.79,25.57,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1565,05/15/20 16:36:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.21,26.16,5.30,,,,,,,,,,,,,,,,,,,,,,,,
1566,05/15/20 16:36:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.23,29.65,4.54,,,,,,
1567,05/15/20 16:37:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.74,26.55,5.11,,,
1568,05/15/20 16:37:59,,,,,,,,,,,,,,,,,,,,,,27.27,26.83,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,05/15/20 16:39:05,2.11,79.85,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1570,05/15/20 16:40:00,,,,,,,,,,,,,,,,25.79,25.16,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,05/15/20 16:40:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.16,24.57,4.35,,,,,,,,,,,,
1572,05/15/20 16:41:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.49,25.35,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,05/15/20 16:42:40,,,,,,,,,,27.20,25.45,5.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1574,05/15/20 16:42:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.57,25.58,4.43,,,,,,,,,
1575,05/15/20 16:43:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.01,26.38,5.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,05/15/20 16:43:41,,,,,,,,,,,,,26.32,24.80,4.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,05/15/20 16:44:35,,,,,,,,,,,,,,,,,,,26.39,25.69,5.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1578,05/15/20 16:46:27,,,,,,,,,,,,,,,,,,,,,,,,,26.46,24.48,4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,05/15/20 16:47:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.84,25.05,5.21,,,,,,,,,,,,,,,
1580,05/15/20 16:48:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.48,25.68,5.26,,,,,,,,,,,,,,,,,,
1581,05/15/20 16:49:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.85,25.52,5.48,,,,,,,,,,,,,,,,,,,,,
1582,05/15/20 16:50:01,,,,25.93,26.34,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,05/15/20 16:51:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.46,25.93,5.38
1584,05/15/20 16:56:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.94,25.42,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1585,05/15/20 16:56:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.24,25.87,5.16,,,,,,,,,,,,,,,,,,,,,,,,
1586,05/15/20 16:56:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.10,28.65,3.94,,,,,,
1587,05/15/20 16:57:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.72,26.31,4.96,,,
1588,05/15/20 16:57:59,,,,,,,,,,,,,,,,,,,,,,27.41,26.61,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1589,05/15/20 16:59:05,2.05,83.61,-0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590,05/15/20 17:00:00,,,,,,,,,,,,,,,,25.50,25.63,4.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591,05/15/20 17:00:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.99,25.00,4.46,,,,,,,,,,,,
1592,05/15/20 17:01:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.42,25.59,4.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1593,05/15/20 17:02:40,,,,,,,,,,27.32,25.27,5.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594,05/15/20 17:02:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.61,25.55,4.45,,,,,,,,,
1595,05/15/20 17:03:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.08,26.19,5.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596,05/15/20 17:03:41,,,,,,,,,,,,,26.40,24.63,4.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597,05/15/20 17:04:35,,,,,,,,,,,,,,,,,,,26.49,25.59,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1598,05/15/20 17:06:27,,,,,,,,,,,,,,,,,,,,,,,,,26.58,24.33,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,05/15/20 17:07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.97,24.96,5.27,,,,,,,,,,,,,,,
1600,05/15/20 17:08:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52,25.63,5.26,,,,,,,,,,,,,,,,,,
1601,05/15/20 17:09:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.93,25.48,5.53,,,,,,,,,,,,,,,,,,,,,
1602,05/15/20 17:10:01,,,,25.98,26.25,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,05/15/20 17:11:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53,25.81,5.37
1604,05/15/20 17:16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.02,25.31,5.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,05/15/20 17:16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.31,25.92,5.25,,,,,,,,,,,,,,,,,,,,,,,,
1606,05/15/20 17:16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.93,28.38,3.66,,,,,,
1607,05/15/20 17:17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.76,26.37,5.03,,,
1608,05/15/20 17:17:59,,,,,,,,,,,,,,,,,,,,,,27.50,26.55,6.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,05/15/20 17:19:05,1.81,84.74,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1610,05/15/20 17:20:00,,,,,,,,,,,,,,,,25.76,25.38,4.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,05/15/20 17:20:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.25,24.69,4.50,,,,,,,,,,,,
1612,05/15/20 17:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.66,25.27,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1613,05/15/20 17:22:40,,,,,,,,,,27.43,25.25,5.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1614,05/15/20 17:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.84,25.32,4.52,,,,,,,,,
1615,05/15/20 17:23:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.11,26.18,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1616,05/15/20 17:23:41,,,,,,,,,,,,,26.58,24.45,4.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1617,05/15/20 17:24:35,,,,,,,,,,,,,,,,,,,26.63,25.51,5.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,05/15/20 17:26:27,,,,,,,,,,,,,,,,,,,,,,,,,26.77,23.99,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1619,05/15/20 17:27:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.09,24.73,5.23,,,,,,,,,,,,,,,
1620,05/15/20 17:28:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.65,25.45,5.27,,,,,,,,,,,,,,,,,,
1621,05/15/20 17:29:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.06,25.27,5.51,,,,,,,,,,,,,,,,,,,,,
1622,05/15/20 17:30:01,,,,26.07,26.06,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623,05/15/20 17:31:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.62,25.56,5.31
1624,05/15/20 17:36:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.13,25.13,5.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1625,05/15/20 17:36:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.39,25.71,5.20,,,,,,,,,,,,,,,,,,,,,,,,
1626,05/15/20 17:36:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.03,29.39,4.24,,,,,,
1627,05/15/20 17:37:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.86,26.17,5.00,,,
1628,05/15/20 17:37:59,,,,,,,,,,,,,,,,,,,,,,27.63,26.42,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1629,05/15/20 17:39:05,2.11,82.94,-0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1630,05/15/20 17:40:00,,,,,,,,,,,,,,,,25.83,24.99,4.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1631,05/15/20 17:40:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37,24.24,4.34,,,,,,,,,,,,
1632,05/15/20 17:41:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.78,24.81,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633,05/15/20 17:42:40,,,,,,,,,,27.54,24.98,5.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634,05/15/20 17:42:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.91,24.94,4.36,,,,,,,,,
1635,05/15/20 17:43:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.21,25.92,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636,05/15/20 17:43:41,,,,,,,,,,,,,26.73,24.03,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637,05/15/20 17:44:35,,,,,,,,,,,,,,,,,,,26.69,25.21,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638,05/15/20 17:46:27,,,,,,,,,,,,,,,,,,,,,,,,,26.90,23.71,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1639,05/15/20 17:47:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.22,24.41,5.15,,,,,,,,,,,,,,,
1640,05/15/20 17:48:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.76,25.23,5.24,,,,,,,,,,,,,,,,,,
1641,05/15/20 17:49:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.16,25.07,5.49,,,,,,,,,,,,,,,,,,,,,
1642,05/15/20 17:50:01,,,,26.18,25.80,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1643,05/15/20 17:51:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.72,25.45,5.33
1644,05/15/20 17:56:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.25,24.94,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,05/15/20 17:56:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.52,25.47,5.17,,,,,,,,,,,,,,,,,,,,,,,,
1646,05/15/20 17:56:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.98,29.44,4.23,,,,,,
1647,05/15/20 17:57:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.89,25.95,4.90,,,
1648,05/15/20 17:57:59,,,,,,,,,,,,,,,,,,,,,,27.76,26.29,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,05/15/20 17:59:05,1.71,84.27,-0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,05/15/20 18:00:00,,,,,,,,,,,,,,,,25.90,24.75,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,05/15/20 18:00:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.43,24.08,4.30,,,,,,,,,,,,
1652,05/15/20 18:01:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.79,24.68,4.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,05/15/20 18:02:40,,,,,,,,,,27.72,24.82,5.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,05/15/20 18:02:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.92,24.75,4.26,,,,,,,,,
1655,05/15/20 18:03:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.30,25.76,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,05/15/20 18:03:41,,,,,,,,,,,,,26.80,23.81,4.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,05/15/20 18:04:35,,,,,,,,,,,,,,,,,,,26.79,25.07,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,05/15/20 18:06:27,,,,,,,,,,,,,,,,,,,,,,,,,26.97,23.59,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,05/15/20 18:07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.34,24.45,5.28,,,,,,,,,,,,,,,
1660,05/15/20 18:08:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.83,25.20,5.29,,,,,,,,,,,,,,,,,,
1661,05/15/20 18:09:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.30,24.95,5.54,,,,,,,,,,,,,,,,,,,,,
1662,05/15/20 18:10:01,,,,26.26,25.81,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,05/15/20 18:11:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.85,25.39,5.41
1664,05/15/20 18:16:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.41,24.84,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,05/15/20 18:16:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.77,25.40,5.34,,,,,,,,,,,,,,,,,,,,,,,,
1666,05/15/20 18:16:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.97,28.34,3.67,,,,,,
1667,05/15/20 18:17:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.16,25.84,5.07,,,
1668,05/15/20 18:17:59,,,,,,,,,,,,,,,,,,,,,,27.98,26.22,6.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,05/15/20 18:19:05,1.34,88.50,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,05/15/20 18:20:00,,,,,,,,,,,,,,,,26.24,24.26,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,05/15/20 18:20:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.75,23.52,4.23,,,,,,,,,,,,
1672,05/15/20 18:21:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.07,24.26,4.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,05/15/20 18:22:40,,,,,,,,,,27.96,24.61,5.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,05/15/20 18:22:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.08,24.46,4.23,,,,,,,,,
1675,05/15/20 18:23:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.46,25.66,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,05/15/20 18:23:41,,,,,,,,,,,,,26.93,23.68,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,05/15/20 18:24:35,,,,,,,,,,,,,,,,,,,26.95,24.81,5.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
